epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,168.67,1.34534,4.32,1.58466,0.42704,0.10585,0.04958,0.03242,1.2054,4.10555,1.48681,0.000110059,0.000110059,0.000110059
2,335.08,1.2988,3.79331,1.53907,0.33201,0.19617,0.06042,0.03301,1.3425,3.92607,1.67078,0.000216682,0.000216682,0.000216682
3,493.321,1.34338,3.44852,1.57793,0.30957,0.26823,0.10161,0.06614,1.24854,3.55778,1.55166,0.00031891,0.00031891,0.00031891
4,651.984,1.33337,3.17487,1.56222,0.18462,0.23107,0.11734,0.06904,1.28604,3.39207,1.6319,0.00031322,0.00031322,0.00031322
5,809.721,1.3095,3.12341,1.53913,0.18934,0.27798,0.16277,0.10811,1.16307,3.0975,1.50062,0.000306626,0.000306626,0.000306626
6,978.987,1.27352,2.95843,1.50989,0.25247,0.33424,0.1944,0.12954,1.20006,3.12272,1.50292,0.000300033,0.000300033,0.000300033
7,1137.5,1.27676,2.87095,1.48544,0.25622,0.35145,0.23915,0.16367,1.18962,2.85382,1.49502,0.00029344,0.00029344,0.00029344
8,1295.16,1.23905,2.7566,1.49482,0.23246,0.42873,0.23914,0.16317,1.17162,2.69339,1.45579,0.000286846,0.000286846,0.000286846
9,1452.41,1.18914,2.65167,1.40812,0.29599,0.40828,0.27178,0.18757,1.20457,2.69632,1.50771,0.000280253,0.000280253,0.000280253
10,1609.86,1.16941,2.55852,1.42047,0.23437,0.41865,0.24066,0.1655,1.16596,2.63398,1.43969,0.000273659,0.000273659,0.000273659
11,1767.37,1.18446,2.47898,1.40564,0.25939,0.45474,0.26253,0.1721,1.19365,2.55535,1.44735,0.000267066,0.000267066,0.000267066
12,1924.58,1.16697,2.40825,1.39714,0.24866,0.40221,0.24016,0.16135,1.13487,2.44589,1.42178,0.000260473,0.000260473,0.000260473
13,2081.55,1.12362,2.3447,1.37783,0.26203,0.42677,0.25703,0.17809,1.11097,2.39115,1.37858,0.000253879,0.000253879,0.000253879
